NACIONALIDADE,TOTAL,NACIONALIDADE_INGLES,country_code
ARGENTINA,6050654.0,ARGENTINA,ARG
ESTADOS UNIDOS,2393971.0,UNITED STATES,USA
CHILE,1620114.0,CHILE,CHL
PARAGUAI,1490067.0,PARAGUAY,PRY
URUGUAI,1408009.0,URUGUAY,URY
PORTUGAL,1204854.0,PORTUGAL,PRT
FRANÇA,1179287.0,FRANCE,FRA
FILIPINAS,899803.0,PHILIPPINES,PHL
ITÁLIA,877196.0,ITALY,ITA
COLÔMBIA,865594.0,COLOMBIA,COL
BOLÍVIA,864122.0,BOLIVIA,BOL
ALEMANHA,851777.0,GERMANY,DEU
VENEZUELA,761872.0,VENEZUELA,VEN
ESPANHA,710813.0,SPAIN,ESP
PERU,709618.0,PERU,PER
REINO UNIDO,644406.0,UNITED KINGDOM,GBR
MÉXICO,486644.0,MEXICO,MEX
CHINA,448809.0,CHINA,CHN
ÍNDIA,430482.0,INDIA,IND
CANADÁ,367384.0,CANADA,CAN
PAÍSES BAIXOS,329650.0,NETHERLANDS,NLD
SUÍÇA,279571.0,SWITZERLAND,CHE
EQUADOR,218349.0,ECUADOR,ECU
RÚSSIA,210111.0,RUSSIA,RUS
JAPÃO,171342.0,JAPAN,JPN
CORÉIA DO SUL,169613.0,SOUTH KOREA,KOR
TURQUIA,166799.0,Türkiye,TUR
PANAMÁ,160602.0,PANAMA,PAN
UCRÂNIA,149933.0,UKRAINE,UKR
POLÔNIA,141564.0,POLAND,POL
